461660,10, 24, 23089703.4450,28.00,25.21, 37.86, 5.60, 7.15, -12867.63,-15306937.8417,  2719674.5741, 21440514.2045
461660,10, 25, 21585317.7130,34.00,45.69,135.69, 3.35, 5.31,-149441.71,-19490681.7120, 17794813.2252, -1698795.0974
461660,10, 32, 22643460.3170,30.00,33.43,313.92, 4.34, 6.45,-158069.97,  7270933.8928, 16903519.4805, 19198024.6342
461661, 9, 10, 20605399.2870,32.00,62.71,334.78, 2.70, 4.29,  36375.87, -4367407.1413, 19601203.7162, 17335325.1599
461661, 9, 12, 21837879.8970,39.00,37.79, 81.57, 3.92, 5.84, 108653.39,-22831147.6453,  8836831.9785,  9883569.4921
461661, 9, 14, 23706593.9620,31.00,21.94,296.41, 6.39, 8.27, -26890.69, 13738543.9662, 17562818.8581, 14834938.8911
461661, 9, 18, 20097089.6260,26.00,81.00,108.59, 2.43, 3.97, 189836.69,-12947906.0668, 21466246.2873,  9095255.3580
461661, 9, 20, 23848232.7200,12.00,16.62,138.03, 8.30, 9.43, 148192.36,-21757871.2556, 10814306.9035,-10840645.7990
461661, 9, 21, 22869235.3170,30.00,25.01,195.49, 5.66, 8.18,-136990.91, -4133086.3270, 22672428.7615,-12357522.4628
461661, 9, 24, 23090357.6710,27.00,25.21, 37.86, 5.61, 7.16, -12867.63,-15307526.1744,  2716986.6331, 21440462.2201
461661, 9, 25, 21584974.5540,34.00,45.70,135.68, 3.35, 5.31,-149441.72,-19490995.5924, 17794745.8736, -1695581.9155
461661, 9, 32, 22643272.7790,31.00,33.43,313.93, 4.35, 6.45,-158069.97,  7268596.8226, 16902833.4872, 19199508.9804
461662, 9, 10, 20605125.9820,31.00,62.72,334.78, 2.70, 4.29,  36375.87, -4369203.7598, 19602489.7451, 17333401.8271
461662, 9, 12, 21837934.5340,38.00,37.79, 81.56, 3.92, 5.84, 108653.39,-22830233.8640,  8835911.4282,  9886473.2498
461662, 9, 14, 23706390.3530,30.00,21.94,296.41, 6.39, 8.27, -26890.69, 13736800.6616, 17562235.8959, 14837271.1361
461662, 9, 18, 20097143.0410,25.00,80.99,108.63, 2.43, 3.97, 189836.69,-12948942.5657, 21466726.9077,  9092444.2637
461662, 9, 20, 23848914.1160,13.00,16.62,138.03, 8.30, 9.43, 148192.36,-21757163.7650, 10813095.6489,-10843314.5909
461662, 9, 24, 23091005.8420,27.00,25.20, 37.86, 5.62, 7.16, -12867.63,-15308114.6520,  2714298.7340, 21440409.7756
461662, 9, 25, 21584635.6360,34.00,45.70,135.67, 3.35, 5.31,-149441.72,-19491309.1663, 17794678.2788, -1692368.6971
461662, 9, 31, 23016683.3750,25.00,23.40,233.34, 6.02, 8.46,  47518.87,  7664379.2243, 24502228.4871, -5832127.1614
461662, 9, 32, 22643081.9610,32.00,33.43,313.93, 4.35, 6.45,-158069.97,  7266259.5369, 16902147.5665, 19200992.9196
461663, 9, 10, 20604852.0480,29.00,62.73,334.78, 2.70, 4.29,  36375.87, -4371000.1206, 19603775.7218, 17331478.1242
461663, 9, 12, 21837989.2400,36.00,37.79, 81.55, 3.91, 5.84, 108653.39,-22829319.8438,  8834990.6002,  9889376.7932
461663, 9, 14, 23706194.5960,24.00,21.94,296.42, 6.38, 8.27, -26890.69, 13735057.0601, 17561652.9169, 14839603.0733
461663, 9, 18, 20097196.1070,25.00,80.99,108.68, 2.43, 3.97, 189836.69,-12949978.7913, 21467207.3422,  9089632.9782
461663, 9, 20, 23849598.2350,12.00,16.61,138.04, 8.30, 9.43, 148192.36,-21756456.1063, 10811884.1192,-10845983.1539
461663, 9, 24, 23091663.4880,27.00,25.19, 37.87, 5.61, 7.16, -12867.63,-15308703.2746,  2711610.8769, 21440356.8711
461663, 9, 25, 21584295.5840,35.00,45.71,135.67, 3.35, 5.31,-149441.72,-19491622.4336, 17794610.4409, -1689155.4422
461663, 9, 31, 23016218.8150,31.00,23.41,233.35, 6.01, 8.46,  47518.87,  7664198.5429, 24503019.3618, -5829031.8625
461663, 9, 32, 22642895.6630,32.00,33.43,313.94, 4.35, 6.45,-158069.97,  7263922.0367, 16901461.7183, 19202476.4514
461664, 8, 12, 21838044.0510,37.00,37.79, 81.54, 3.92, 5.84, 108653.39,-22828405.5848,  8834069.4939,  9892280.1231
461664, 8, 14, 23705987.9680,25.00,21.95,296.43, 6.39, 8.27, -26890.69, 13733313.1615, 17561069.9213, 14841934.7025
461664, 8, 18, 20097248.6680,25.00,80.98,108.72, 2.43, 3.97, 189836.69,-12951014.7441, 21467687.5906,  9086821.5010
461664, 8, 20, 23850273.0520,14.00,16.61,138.04, 8.31, 9.43, 148192.36,-21755748.2795, 10810672.3156,-10848651.4866
461664, 8, 24, 23092318.2550,27.00,25.19, 37.87, 5.62, 7.16, -12867.63,-15309292.0421,  2708923.0628, 21440303.5065
461664, 8, 25, 21583951.7620,35.00,45.71,135.66, 3.35, 5.31,-149441.72,-19491935.3944, 17794542.3598, -1685942.1510
461664, 8, 31, 23015748.1480,33.00,23.41,233.36, 6.01, 8.46,  47518.87,  7664017.8497, 24503809.8582, -5825936.4356
461664, 8, 32, 22642710.9870,33.00,33.44,313.95, 4.35, 6.45,-158069.97,  7261584.3203, 16900775.9427, 19203959.5765
461665, 9, 10, 20604308.9800,25.00,62.75,334.78, 2.70, 4.29,  36375.88, -4374592.0688, 19606347.5181, 17327629.6088
461665, 9, 12, 21838098.7920,37.00,37.79, 81.53, 3.92, 5.84, 108653.39,-22827491.0871,  8833148.1105,  9895183.2380
461665, 9, 14, 23705789.3320,26.00,21.95,296.43, 6.39, 8.27, -26890.69, 13731568.9661, 17560486.9090, 14844266.0237
461665, 9, 18, 20097302.7460,25.00,80.98,108.77, 2.43, 3.97, 189836.69,-12952050.4228, 21468167.6531,  9084009.8334
461665, 9, 20, 23850943.6990,17.00,16.60,138.04, 8.31, 9.43, 148192.36,-21755040.2848, 10809460.2367,-10851319.5903
